#	 Module 	 Chip 	 Chn 	 CellID1 	 I 	 J 	 K 	 CellID0
2	3	9	9410	14	15	1	492224
4	3	9	9412	10	1	1	34496
5	3	9	9413	3	9	1	295040
2	4	9	9474	20	10	1	328000
2	5	9	9538	20	4	1	131392
2	6	9	9602	14	9	1	295616
2	7	9	9666	14	3	1	99008
2	8	9	9730	8	22	1	721984
2	9	9	9794	8	16	1	525376
2	10	9	9858	2	21	1	689600
2	11	9	9922	2	15	1	492992
2	12	9	9986	8	10	1	328768
2	13	9	10050	8	4	1	132160
2	14	9	10114	2	9	1	296384
2	15	9	10178	2	3	1	99776
1	0	10	10241	14	17	1	557760
2	0	10	10242	20	23	1	753984
4	0	10	10244	36	4	1	131136
5	0	10	10245	1	8	1	262400
1	1	10	10305	14	11	1	361152
2	1	10	10306	20	17	1	557376
4	1	10	10308	29	1	1	33280
5	1	10	10309	2	29	1	950464
1	2	10	10369	8	14	1	459840
2	2	10	10370	14	20	1	656064
4	2	10	10372	18	3	1	99520
5	2	10	10373	4	29	1	950336
1	3	10	10433	8	8	1	263232
2	3	10	10434	14	14	1	459456
4	3	10	10436	11	1	1	34432
5	3	10	10437	3	8	1	262272
2	4	10	10498	20	11	1	360768
2	5	10	10562	20	5	1	164160
2	6	10	10626	14	8	1	262848
2	7	10	10690	14	2	1	66240
2	8	10	10754	8	23	1	754752
2	9	10	10818	8	17	1	558144
2	10	10	10882	2	20	1	656832
2	11	10	10946	2	14	1	460224
2	12	10	11010	8	11	1	361536
2	13	10	11074	8	5	1	164928
2	14	10	11138	2	8	1	263616
2	15	10	11202	2	2	1	67008
1	0	11	11265	14	18	1	590528
2	0	11	11266	20	24	1	786752
4	0	11	11268	36	3	1	98368
5	0	11	11269	1	7	1	229632
1	1	11	11329	14	12	1	393920
2	1	11	11330	20	18	1	590144
4	1	11	11332	30	1	1	33216
5	1	11	11333	2	30	1	983232
1	2	11	11393	8	13	1	427072
2	2	11	11394	14	19	1	623296
4	2	11	11396	17	3	1	99584
5	2	11	11397	4	30	1	983104
1	3	11	11457	8	7	1	230464
2	3	11	11458	14	13	1	426688
4	3	11	11460	12	1	1	34368
5	3	11	11461	3	7	1	229504
2	4	11	11522	20	12	1	393536
2	5	11	11586	20	6	1	196928
2	6	11	11650	14	7	1	230080
2	7	11	11714	14	1	1	33472
2	8	11	11778	8	24	1	787520
2	9	11	11842	8	18	1	590912
2	10	11	11906	2	19	1	624064
2	11	11	11970	2	13	1	427456
2	12	11	12034	8	12	1	394304
2	13	11	12098	8	6	1	197696
2	14	11	12162	2	7	1	230848
2	15	11	12226	2	1	1	34240
1	0	12	12289	15	13	1	426624
2	0	12	12290	21	19	1	622848
4	0	12	12292	35	3	1	98432
5	0	12	12293	1	6	1	196864
1	1	12	12353	15	7	1	230016
2	1	12	12354	21	13	1	426240
4	1	12	12356	31	1	1	33152
5	1	12	12357	2	31	1	1016000
1	2	12	12417	9	18	1	590848
2	2	12	12418	15	24	1	787072
4	2	12	12420	16	3	1	99648
5	2	12	12421	4	31	1	1015872
1	3	12	12481	9	12	1	394240
2	3	12	12482	15	18	1	590464
4	3	12	12484	13	1	1	34304
5	3	12	12485	3	6	1	196736
2	4	12	12546	21	7	1	229632
2	5	12	12610	21	1	1	33024
2	6	12	12674	15	12	1	393856
2	7	12	12738	15	6	1	197248
2	8	12	12802	9	19	1	623616
2	9	12	12866	9	13	1	427008
2	10	12	12930	3	24	1	787840
2	11	12	12994	3	18	1	591232
2	12	12	13058	9	7	1	230400
2	13	12	13122	9	1	1	33792
2	14	12	13186	3	12	1	394624
2	15	12	13250	3	6	1	198016
1	0	13	13313	15	14	1	459392
2	0	13	13314	21	20	1	655616
4	0	13	13316	34	3	1	98496
5	0	13	13317	1	5	1	164096
1	1	13	13377	15	8	1	262784
2	1	13	13378	21	14	1	459008
4	1	13	13380	32	1	1	33088
5	1	13	13381	2	32	1	1048768
1	2	13	13441	9	17	1	558080
2	2	13	13442	15	23	1	754304
4	2	13	13444	15	3	1	99712
5	2	13	13445	4	32	1	1048640
1	3	13	13505	9	11	1	361472
2	3	13	13506	15	17	1	557696
4	3	13	13508	14	1	1	34240
5	3	13	13509	3	5	1	163968
2	4	13	13570	21	8	1	262400
2	5	13	13634	21	2	1	65792
2	6	13	13698	15	11	1	361088
2	7	13	13762	15	5	1	164480
2	8	13	13826	9	20	1	656384
2	9	13	13890	9	14	1	459776
2	10	13	13954	3	23	1	755072
2	11	13	14018	3	17	1	558464
2	12	13	14082	9	8	1	263168
2	13	13	14146	9	2	1	66560
2	14	13	14210	3	11	1	361856
2	15	13	14274	3	5	1	165248
1	0	14	14337	15	15	1	492160
2	0	14	14338	21	21	1	688384
4	0	14	14340	33	3	1	98560
5	0	14	14341	1	4	1	131328
1	1	14	14401	15	9	1	295552
2	1	14	14402	21	15	1	491776
4	1	14	14404	33	1	1	33024
5	1	14	14405	2	33	1	1081536
1	2	14	14465	9	16	1	525312
2	2	14	14466	15	22	1	721536
